"price","tax","ground","floor","year"
12.95,98.352,34.72,19.96,4.2
14.75,100.416,35.31,30,6.2
13.95,90.858,22.75,23.5,4
12.95,91.146,40.5,24.64,5.4
14.95,101.194,44.55,22.42,4.2
14.95,77.82,44.55,19.76,5.6
15.45,117.96,58.5,24.8,5.1
14.45,112.186,95.2,30.02,3.2
42.45,308.404,98,68.4,4.2
41.45,289.196,128,60,1.4
17.95,116.564,64.35,24.5,3.2
15.75,106.006,49.883,31.04,3
15.5,125.424,55.2,19.5,3
15.45,119.184,66.66,22.42,3.2
15,101,50,20.4,4.6
18.45,164.928,51.5,33.28,5
20.95,133.938,69.02,29.76,2.2
20.25,155.682,71.02,27.52,1.7
21.95,180.768,78,30,2.3
18.75,119.788,55.2,25.12,4
18.95,150.844,40,33.8,2.2
22.25,175.902,98.9,36.4,5
18.95,121.862,67.265,33.04,4.4
19.45,167.214,91.5,35.54,4.8
18.45,162.8,80,30.08,0.3
22.9,182.832,73.262,36.62,3.1
20.5,240,50,24,3
