"price","year","mileage","cc","automatic"
790,78,133462,1998,1
1380,39,33000,2000,1
270,109,120000,1800,0
1190,20,69727,1999,1
590,70,112000,2000,0
1120,58,39106,1998,1
815,53,95935,1800,1
450,68,120000,1800,0
1290,15,20215,1798,1
420,96,140000,1800,0
945,63,68924,1998,1
770,82,90000,2000,0
610,76,81279,1998,0
1350,17,24070,1798,1
1020,38,40000,2000,0
830,46,56887,1832,1
670,95,91216,1997,1
990,37,48680,1998,1
800,68,8000,2000,0
1100,41,60634,1835,1
740,69,114131,1998,1
570,71,75000,1800,0
660,99,124417,1998,1
300,129,130000,1800,0
960,57,77559,1997,1
650,107,75216,1838,1
1000,45,52000,2000,0
700,80,58000,2000,1
280,113,134500,1800,0
879,41,80000,2000,0
