"Y","X1","X2","X3","X4","X5","X6","X7","team","player"
60000,164,16,75,64,28,1716,16,"LG","이병규"
30000,163,30,118,80,76,506,11,"삼성","최형우"
13000,162,11,64,97,50,279,5,"롯데","전준우"
20000,149,13,51,83,62,1171,15,"한화","강동우"
40000,145,6,67,70,53,1562,14,"롯데","홍성흔"
13000,144,15,83,79,43,356,6,"롯데","손아섭"
30000,143,13,91,71,71,742,7,"두산","김현수"
30000,140,3,33,84,63,855,9,"KIA","이용규"
20500,132,5,44,64,49,742,7,"두산","이종욱"
30000,130,19,66,63,47,717,9,"롯데","강민호"
12500,129,3,54,64,52,378,8,"넥센","유한준"
14500,129,6,46,73,39,368,6,"두산","오재원"
18000,127,15,86,74,59,454,9,"삼성","박석민"
18000,125,9,63,53,43,499,7,"넥센","강정호"
28000,125,20,75,64,46,660,8,"SK","최정"
35000,125,15,64,57,26,1248,11,"LG","박용택"
35000,123,10,57,61,49,1431,14,"LG","정성훈"
15000,120,19,85,63,61,295,9,"한화","최진행"
12500,119,5,46,54,33,340,4,"KIA","안치홍"
9000,118,1,38,66,40,225,4,"두산","정수빈"
70000,116,17,75,57,66,1624,15,"두산","김동주"
15000,115,12,68,62,40,457,6,"롯데","황재균"
19500,114,13,53,54,42,453,9,"SK","박정권"
12500,113,4,46,43,44,213,6,"두산","양의지"
12500,113,2,47,53,47,241,4,"삼성","김상수"
14000,110,8,50,46,31,478,11,"한화","이대수"
30000,110,4,30,77,60,1426,12,"삼성","박한이"
12000,107,3,39,49,46,413,10,"한화","한상훈"
40000,104,15,59,46,44,1099,15,"LG","조인성"
7000,100,2,24,51,29,107,3,"삼성","배영섭"
31000,100,6,40,60,38,819,8,"SK","정근우"
27000,100,6,40,58,27,895,13,"롯데","김주찬"
20000,99,6,36,45,37,738,14,"롯데","조성환"
11000,97,4,47,58,50,304,5,"KIA","김선빈"
49500,96,17,77,63,75,1013,13,"KIA","이범호"
13000,95,11,50,40,22,275,12,"SK","정상호"
70000,94,4,29,44,40,845,10,"LG","이택근"
25000,93,14,62,41,44,1214,17,"SK","이호준"
20000,91,14,64,38,37,564,12,"KIA","김상현"
55000,89,2,37,43,26,1392,14,"LG","이진영"
12500,88,18,66,41,35,315,5,"KIA","나지완"
8500,88,1,24,56,30,728,10,"LG","이대형"
19500,84,4,28,39,37,655,10,"두산","손시헌"
8500,81,7,37,42,33,135,10,"LG","서동욱"
25000,80,9,43,43,38,1849,17,"넥센","송지만"
25000,79,6,39,42,34,1435,17,"SK","박진만"
