"fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","quality","type"
6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,5,"white"
6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,7,"white"
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,"white"
5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9,6,"white"
8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5,"white"
6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6,"white"
7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,4,"white"
6,0.28,0.52,5,0.078,30,139,0.99494,3.1,0.36,9,6,"white"
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8,"red"
7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,5,"red"
5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7,"white"
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,"red"
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5,"red"
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6,"white"
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5,"white"
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,"red"
6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6,"white"
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5,"white"
8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7,"red"
8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5,"white"
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,"red"
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5,"white"
6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,6,"white"
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8,"white"
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,"white"
6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6,"white"
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,"white"
8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,5,"red"
6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6,"white"
7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6,"white"
6.6,0.24,0.3,11.3,0.026,11,77,0.99381,3.13,0.55,12.8,7,"white"
7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6,"red"
6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,6,"white"
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,"white"
6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6,"white"
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,"white"
6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7,"white"
7.4,0.27,0.52,15.7,0.054,36,139,0.99788,3.04,0.62,10.0333333333333,6,"white"
6,0.41,0.21,1.9,0.05,29,122,0.9928,3.42,0.52,10.5,6,"white"
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5,"white"
6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,7,"white"
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8,"white"
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5,"white"
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,"white"
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7,"red"
5,0.31,0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,6,"white"
7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5,"white"
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,"red"
6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,6,"white"
6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,6,"white"
6.6,0.28,0.3,12.9,0.033,31,177,0.99479,3.12,0.39,11.2,6,"white"
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,"white"
6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6,"red"
6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,6,"white"
6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,"white"
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7,"white"
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7,"white"
7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,7,"white"
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6,"white"
6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5,"white"
5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7,"red"
7.2,0.28,0.26,12.5,0.046,48,179,0.9975,3.1,0.52,9,6,"white"
7,0.34,0.26,10.3,0.041,51,166,0.99382,3.08,0.35,11.6,6,"white"
12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5,"red"
